time	NK.EXE	filesys.exe	device.exe	cprog.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	poutlook.exe	tmarshaller.exe	IQueue.exe	AEBPlus.exe	DataServer.exe	SSClient.exe	memuse.exe	ENCommLoader.exe	SureLockClient.exe	wceload.exe	KioskCenter.exe	SSTransferAgent.exe	SpeedyMOBILE.exe	uptimesqm.exe	total
3/16/2015 12:51:15 PM	0	0	9027584	1449984	6393856	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32649216
3/16/2015 12:51:25 PM	0	0	9027584	1449984	6873088	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7057408		33136640
3/16/2015 12:51:35 PM	0	0	9027584	1449984	7315456	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		33570816
3/16/2015 12:51:45 PM	0	0	9027584	1449984	7315456	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		33570816
3/16/2015 12:51:55 PM	0	0	9027584	1449984	7315456	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		33570816
3/16/2015 12:52:05 PM	0	0	9027584	1449984	6328320	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		32677888
3/16/2015 12:52:15 PM	0	0	9027584	1449984	6328320	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		32677888
3/16/2015 12:52:25 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:52:35 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:52:45 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:52:55 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:53:05 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:53:15 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:53:25 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:53:35 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:53:45 PM	0	0	9027584	1449984	7901184	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34250752
3/16/2015 12:53:55 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34246656
3/16/2015 12:54:05 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7143424		34246656
3/16/2015 12:54:15 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7155712		34258944
3/16/2015 12:54:25 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:54:35 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:54:45 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:54:55 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:55:05 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:55:15 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:55:25 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:55:35 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:55:45 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:55:55 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:56:05 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:56:15 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:56:25 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:56:35 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7245824		34349056
3/16/2015 12:56:45 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7241728		34344960
3/16/2015 12:56:55 PM	0	0	9027584	1449984	7901184	2281472	978944	364544	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7241728		34344960
