time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	calupd.exe	SSClient.exe	RBTimeStamp.exe	IQueue.exe	RBLogger.exe	SSTransferAgent.exe	memuse.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	repllog.exe	Dw.exe	ssLaunch.exe	MobileCalculator.exe	calnot.exe	Tskschedule.exe	total
20.03.2015 13:10:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:11:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:11:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:11:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:11:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:11:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:11:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:12:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:12:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:12:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:12:31	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:12:41	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:12:51	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:13:01	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:13:11	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:13:21	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:13:31	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:13:41	0	0	9302016		86016	3686400	1806336	1052672	741376		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32329728
20.03.2015 13:13:51	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:14:01	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:14:11	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:14:21	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:14:31	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:14:41	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:14:51	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:15:01	0	0	9302016		86016	3686400	1806336	1052672	737280		2301952	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
